frame,true_z,est_z,true_x,est_x,true_ttc,est_ttc,brake_needed
39,28.317939079028815,26.61962127685547,-1.9954141572339161,-1.9941011667251587,5.592544025289549,5.269076451986695,False
40,28.06220793703089,26.34476661682129,-1.975404353692202,-1.9646321535110474,5.51553213617278,5.148602859399965,False
41,27.80830064959032,26.075504302978516,-1.9553851763341181,-1.9424872398376465,5.482975889907394,5.085352014712683,False
42,27.55658391416527,25.811227798461914,-1.9353969851167363,-1.923835039138794,5.499385776835714,5.074104019022249,False
43,27.303371477774853,25.545347213745117,-1.915383568474803,-1.9073967933654785,5.31324175414142,4.889907547978949,True
44,27.054401956902147,25.298166275024414,-1.8953816963937116,-1.8909064531326294,5.74041220499382,5.257968253746976,False
45,26.83568396605512,25.097427368164062,-1.875366242744478,-1.87248957157135,6.227423213074386,5.739568148535593,False
46,26.616218412548672,24.88617706298828,-1.8553639744417993,-1.8499164581298828,5.992472245807842,5.554455605886622,False
47,26.389999729250295,24.664934158325195,-1.83537135026311,-1.8271085023880005,5.765751724113695,5.362937738499285,False
48,26.157110470078756,24.4352970123291,-1.815360068614099,-1.8050721883773804,5.555883984471194,5.178943983207005,False
49,25.91803879575772,24.198034286499023,-1.7953615932090408,-1.78477942943573,5.370569091297255,5.011715521357007,False
50,25.673610385125425,23.955732345581055,-1.7753480519646496,-1.7644474506378174,5.211304111999416,4.867320754626807,True
51,25.42567112760113,23.71076011657715,-1.755352632050509,-1.7443588972091675,5.122255545627438,4.78630324327425,True
52,25.17942574040055,23.467191696166992,-1.7353593740535225,-1.7244586944580078,5.153299706485285,4.8130286708004615,True
53,24.939820507254126,23.23114585876465,-1.7153528896047987,-1.7053393125534058,5.282114460565336,4.93016226679125,True
54,24.7103186339558,23.003890991210938,-1.6953609972554844,-1.6877288818359375,5.488602622071476,5.11532746636943,False
55,24.49089883264783,22.78472900390625,-1.6753599581162848,-1.673701286315918,5.6565377457210175,5.26257310350518,False
56,24.2762111962178,22.569154739379883,-1.6553365648888447,-1.662500262260437,5.6580792470445695,5.258120901761799,False
57,24.059897866262144,22.352487564086914,-1.635319448962375,-1.6521459817886353,5.5229925074770785,5.131505713298487,False
58,23.83889066280335,22.131736755371094,-1.615313534071241,-1.6356276273727417,5.340087352811919,4.96269824371866,True
59,23.612908664141187,21.90947723388672,-1.595293005455193,-1.6224346160888672,5.198599565851574,4.836770934023908,True
60,23.386528822973688,21.700408935546875,-1.575290788978156,-1.6179015636444092,5.195527762193354,4.862672094383378,True
61,23.16542122407009,21.498294830322266,-1.5553009707942493,-1.611518144607544,5.314925473445632,5.0039931951101675,False
62,22.951894521256566,21.2989444732666,-1.5352720496562497,-1.6016420125961304,5.429828660762469,5.132892998997723,False
63,22.741456784068617,21.09575080871582,-1.5152603291674622,-1.589181661605835,5.397760739042053,5.1085400347767616,False
